query,norm_base,expects_house,has_km,candidates,reason
"RUA CONDE DO PINHAL, 1150 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-648","{'street': 'RUA CONDE DO PINHAL, 1150, JARDIM SAO CARLOS, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13560-648'}",False,False,"[{""street"": ""RUA CONDE DO PINHAL, 1150, JARDIM SAO CARLOS, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13560-648""}, {""street"": ""RUA CONDE DO PINHAL, 1150, JARDIM SAO CARLOS, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13560-648"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA CONDE DO PINHAL, 1150, JARDIM SAO CARLOS, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 1071 - EDIF: MFS; - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13563-330","{'street': 'RUA JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 1071, EDIF: MFS;, PARQUE SANTA FELICIA JARDIM, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13563-330'}",False,False,"[{""street"": ""RUA JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 1071, EDIF: MFS;, PARQUE SANTA FELICIA JARDIM, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13563-330""}, {""street"": ""RUA JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 1071, EDIF: MFS;, PARQUE SANTA FELICIA JARDIM, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13563-330"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 1071, EDIF: MFS;, PARQUE SANTA FELICIA JARDIM, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA JOSE MISSALI, 764 - PLANALTO PARAISO - São Carlos/SP - CEP 13562-060","{'street': 'RUA JOSE MISSALI, 764, PLANALTO PARAISO, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13562-060'}",False,False,"[{""street"": ""RUA JOSE MISSALI, 764, PLANALTO PARAISO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13562-060""}, {""street"": ""RUA JOSE MISSALI, 764, PLANALTO PARAISO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13562-060"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA JOSE MISSALI, 764, PLANALTO PARAISO, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA SAO SEBASTIAO, 3326 - ANDAR: 1 - PRIMEIRO; - CHACARA PAROLLO - São Carlos/SP - CEP 13569-181","{'street': 'RUA SAO SEBASTIAO, 3326', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13569-181'}",True,False,"[{""street"": ""RUA SAO SEBASTIAO, 3326"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13569-181""}, {""street"": ""RUA SAO SEBASTIAO, 3326"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13569-181"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA SAO SEBASTIAO, 3326, São Carlos, SP, Brasil""]",no_valid_hit
"RUA MONTEIRO LOBATO, 2087 - VILA NERY - São Carlos/SP - CEP 13569-290","{'street': 'RUA MONTEIRO LOBATO, 2087, VILA NERY, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13569-290'}",False,False,"[{""street"": ""RUA MONTEIRO LOBATO, 2087, VILA NERY, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13569-290""}, {""street"": ""RUA MONTEIRO LOBATO, 2087, VILA NERY, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13569-290"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA MONTEIRO LOBATO, 2087, VILA NERY, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA MAESTRO JOAO SEPPE, 900 - SALA  171 - JARDIM PARAISO - São Carlos/SP - CEP 13561-180","{'street': 'RUA MAESTRO JOAO SEPPE, 900', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13561-180'}",True,False,"[{""street"": ""RUA MAESTRO JOAO SEPPE, 900"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13561-180""}, {""street"": ""RUA MAESTRO JOAO SEPPE, 900"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13561-180"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA MAESTRO JOAO SEPPE, 900, São Carlos, SP, Brasil""]",no_valid_hit
"RUA DOUTOR DONATO DOS SANTOS, 52 - JARDIM NOVA SANTA PAULA - São Carlos/SP - CEP 13564-332","{'street': 'RUA DOUTOR DONATO DOS SANTOS, 52, JARDIM NOVA SANTA PAULA, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13564-332'}",False,False,"[{""street"": ""RUA DOUTOR DONATO DOS SANTOS, 52, JARDIM NOVA SANTA PAULA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13564-332""}, {""street"": ""RUA DOUTOR DONATO DOS SANTOS, 52, JARDIM NOVA SANTA PAULA, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13564-332"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA DOUTOR DONATO DOS SANTOS, 52, JARDIM NOVA SANTA PAULA, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA AQUIDABAN, 4 - ANEXO AREA B - CENTRO - São Carlos/SP - CEP 13560-120","{'street': 'RUA AQUIDABAN, 4, ANEXO AREA B, CENTRO, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13560-120'}",False,False,"[{""street"": ""RUA AQUIDABAN, 4, ANEXO AREA B, CENTRO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13560-120""}, {""street"": ""RUA AQUIDABAN, 4, ANEXO AREA B, CENTRO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13560-120"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA AQUIDABAN, 4, ANEXO AREA B, CENTRO, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA JOSE JORGE ABI SAAB, 20 - SALA  001 - JARDIM MARACANA - São Carlos/SP - CEP 13571-290","{'street': 'RUA JOSE JORGE ABI SAAB, 20', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13571-290'}",True,False,"[{""street"": ""RUA JOSE JORGE ABI SAAB, 20"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13571-290""}, {""street"": ""RUA JOSE JORGE ABI SAAB, 20"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13571-290"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA JOSE JORGE ABI SAAB, 20, São Carlos, SP, Brasil""]",no_valid_hit
"RUA JESUINO DE ARRUDA, 2414 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-642","{'street': 'RUA JESUINO DE ARRUDA, 2414, JARDIM SAO CARLOS, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13560-642'}",False,False,"[{""street"": ""RUA JESUINO DE ARRUDA, 2414, JARDIM SAO CARLOS, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13560-642""}, {""street"": ""RUA JESUINO DE ARRUDA, 2414, JARDIM SAO CARLOS, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13560-642"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA JESUINO DE ARRUDA, 2414, JARDIM SAO CARLOS, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"OUTROS PASSEIO DOS FLAMBOYANTS, 200 - LOJA 14 - PARQUE FABER - São Carlos/SP - CEP 13561-352","{'street': 'OUTROS PASSEIO DOS FLAMBOYANTS, 200', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13561-352'}",True,False,"[{""street"": ""OUTROS PASSEIO DOS FLAMBOYANTS, 200"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13561-352""}, {""street"": ""OUTROS PASSEIO DOS FLAMBOYANTS, 200"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13561-352"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""OUTROS PASSEIO DOS FLAMBOYANTS, 200, São Carlos, SP, Brasil""]",no_valid_hit
"RUA TOTO LEITE, 2000 - VL.NERY - São Carlos/SP - CEP 13570-010","{'street': 'RUA TOTO LEITE, 2000, VL.NERY, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13570-010'}",False,False,"[{""street"": ""RUA TOTO LEITE, 2000, VL.NERY, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13570-010""}, {""street"": ""RUA TOTO LEITE, 2000, VL.NERY, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13570-010"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA TOTO LEITE, 2000, VL.NERY, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RODOVIA LUIZ AUGUSTO DE OLIVEIRA, S/N - KM    148,8, 1 ANDAR,     CONJ  112 115 116 122 124       125 131 132 133 135       142 144 E 145       ANDAR 2, CJTOS 215 216 235      E 236 - PARQUE TECNOLOGICO - São Carlos/SP - CEP 13573-600","{'street': 'ROD OVIA LUIZ AUGUSTO DE OLIVEIRA, S/N, KM 148.8, 1 ANDAR, CONJ 112 115 116 122 124 125 131 132 133 135 142 144 E 145 ANDAR 2, CJTOS 215 216 235 E 236, PARQUE TECNOLOGICO, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13573-600'}",False,True,"[{""street"": ""ROD OVIA LUIZ AUGUSTO DE OLIVEIRA, S/N, KM 148.8, 1 ANDAR, CONJ 112 115 116 122 124 125 131 132 133 135 142 144 E 145 ANDAR 2, CJTOS 215 216 235 E 236, PARQUE TECNOLOGICO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13573-600""}, {""street"": ""ROD OVIA LUIZ AUGUSTO DE OLIVEIRA, S/N, KM 148.8, 1 ANDAR, CONJ 112 115 116 122 124 125 131 132 133 135 142 144 E 145 ANDAR 2, CJTOS 215 216 235 E 236, PARQUE TECNOLOGICO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13573-600"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""ROD OVIA LUIZ AUGUSTO DE OLIVEIRA, S/N, KM 148.8, 1 ANDAR, CONJ 112 115 116 122 124 125 131 132 133 135 142 144 E 145 ANDAR 2, CJTOS 215 216 235 E 236, PARQUE TECNOLOGICO, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"RUA MARECHAL DEODORO, 2819 - CENTRO - São Carlos/SP - CEP 13560-201","{'street': 'RUA MARECHAL DEODORO, 2819, CENTRO, SÃO CARLOS/SP', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13560-201'}",False,False,"[{""street"": ""RUA MARECHAL DEODORO, 2819, CENTRO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13560-201""}, {""street"": ""RUA MARECHAL DEODORO, 2819, CENTRO, SÃO CARLOS/SP"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13560-201"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""RUA MARECHAL DEODORO, 2819, CENTRO, SÃO CARLOS/SP, São Carlos, SP, Brasil""]",no_valid_hit
"AVENIDA FRANCISCO PEREIRA LOPES, 1701 - LOJA  LUC Q008            SALA  PARTE PISO T2 - PARQUE SANTA MONICA - São Carlos/SP - CEP 13561-250","{'street': 'AV ENIDA FRANCISCO PEREIRA LOPES, 1701', 'city': 'São Carlos', 'state': 'SP', 'country': 'Brasil', 'postalcode': '13561-250'}",True,False,"[{""street"": ""AV ENIDA FRANCISCO PEREIRA LOPES, 1701"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil"", ""postalcode"": ""13561-250""}, {""street"": ""AV ENIDA FRANCISCO PEREIRA LOPES, 1701"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, {""postalcode"": ""13561-250"", ""city"": ""São Carlos"", ""state"": ""SP"", ""country"": ""Brasil""}, ""AV ENIDA FRANCISCO PEREIRA LOPES, 1701, São Carlos, SP, Brasil""]",no_valid_hit
