query,provider,latitude,longitude,display
"RODOVIA LUIZ AUGUSTO DE OLIVEIRA, S/N - KM    148,8, 1 ANDAR,     CONJ  112 115 116 122 124       125 131 132 133 135       142 144 E 145       ANDAR 2, CJTOS 215 216 235      E 236 - PARQUE TECNOLOGICO - São Carlos/SP - CEP 13573-600",arcgis,-22.054859512511,-47.947807660302,"13573-600, São Carlos, São Paulo"
"RUA MARECHAL DEODORO, 2819 - CENTRO - São Carlos/SP - CEP 13560-201",nominatim,-22.0149219,-47.879416,"Rua Marechal Deodoro, Vila Elisabeth, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13569-265, Brasil"
"AVENIDA FRANCISCO PEREIRA LOPES, 1701 - LOJA  LUC Q008            SALA  PARTE PISO T2 - PARQUE SANTA MONICA - São Carlos/SP - CEP 13561-250",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"AVENIDA SALLUM, 1154 - SALA  PARTE - D - VILA PRADO - São Carlos/SP - CEP 13574-040",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA NOVE DE JULHO, 959 - SALA  PARTE - CENTRO - São Carlos/SP - CEP 13560-042",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"AVENIDA SAO CARLOS, 2205 - SL 203-2 ANDAR - CENTRO - São Carlos/SP - CEP 13560-011",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"AVENIDA SAO CARLOS, 759 - CASA - VL.MARCELINO - São Carlos/SP - CEP 13573-284",arcgis,-22.02678998561,-47.890424983525,"Avenida Sao Carlos 759, São Carlos, São Paulo, 13570-660"
"RUA CID SILVA CESAR, 357-A - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13562-400",nominatim,-22.0026365,-47.9153676,"Rua Cid Silva César, Parque Jardim Santa Felícia, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13562-100, Brasil"
"AVENIDA SALLUM, 866 - SALA  04 - VILA PRADO - São Carlos/SP - CEP 13574-040",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA PERNAMBUCO, 315 - JD PACAEMBU - São Carlos/SP - CEP 13572-380",arcgis,-22.038912983629,-47.894472017835,"Rua Pernambuco 315, Bela Vista São-Carlense, São Carlos, São Paulo, 13572-380"
"RUA FRANCISCO MARIGO, 887 - JD CRUZEIRO DO SUL - São Carlos/SP - CEP 13572-090",arcgis,-22.042469006052,-47.889366013878,"Rua Francisco Marigo 887, Bela Vista São-Carlense, São Carlos, São Paulo, 13572-090"
"AVENIDA SAO CARLOS, 2856 - PARTE - CENTRO - São Carlos/SP - CEP 13560-011",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA JOSE TEIXEIRA, 42 - PARQUE SISI - São Carlos/SP - CEP 13562-440",nominatim,-22.005976,-47.9208716,"Rua José Teixeira, Parque Jardim Santa Felícia, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13562-420, Brasil"
"AVENIDA TEIXEIRA DE BARROS, 367 - VILA PRADO - São Carlos/SP - CEP 13574-033",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA PADRE TEIXEIRA, 2796 - CENTRO - São Carlos/SP - CEP 13560-210",nominatim,-22.0140905,-47.8838192,"Rua Padre Teixeira, Vila Elisabeth, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13560-350, Brasil"
"RUA EPISCOPAL, 1090 - CENTRO - São Carlos/SP - CEP 13560-049",nominatim,-22.0145048,-47.8917374,"Rua Episcopal, Centro, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13560-200, Brasil"
"RUA SAO JOAQUIM, 2023 - SALA  04 - VILA MONTEIRO (GLEBA I) - São Carlos/SP - CEP 13560-300",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA ROSA LEA FERRARI LISBOA, 255 - JARDIM ACAPULCO - São Carlos/SP - CEP 13563-706",nominatim,-21.9956149,-47.9117915,"Rua Rosa Lea Ferrari Lisboa, Jardim Acapulco, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13562-190, Brasil"
"RUA OSCAR DE SOUZA GERIBELO, 790 - JARDIM SANTA PAULA - São Carlos/SP - CEP 13564-031",nominatim,-22.000707,-47.9014175,"Rua Oscar de Souza Geribelo, Chácara Monjolinho, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13564-031, Brasil"
"PASSEIO DAS CASTANHEIRAS, 431 - COND  TRIADE 03           EDIF  NOVA YORK           CONJ  207 - PARQUE FABER - São Carlos/SP - CEP 13561-384",arcgis,-22.019983552392,-47.91629210488,"Passeio das Castenheiras 431, São Carlos, São Paulo, 13561"
"RUA JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 900 - SALA  01 - PARQUE SANTA FELICIA JARDIM - São Carlos/SP - CEP 13563-330",arcgis,-22.002555011773,-47.914040995722,"Rua Joaquim Augusto Ribeiro De Souza 900, São Carlos, São Paulo, 13563-330"
"AVENIDA SALLUM, 1154 - LOJA  D - VILA PRADO - São Carlos/SP - CEP 13574-040",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"AVENIDA PROFESSORA MARIA DE CRESCI LEOPOLDINO, 755 - CASA  294 - CONDOMINIO RESIDENCIAL QUEBEC - São Carlos/SP - CEP 13563-623",arcgis,-21.983333602601,-47.931040754836,"Avenida Professora Maria de Cresci Leopoldino 294, São Carlos, São Paulo, 13563-623"
"RUA JOSE DUARTE DE SOUZA, 383 - SALA  01 - JARDIM SANTA PAULA - São Carlos/SP - CEP 13564-030",arcgis,-21.999289003201,-47.901297988324,"Rua Jose Duarte De Souza 383, São Carlos, São Paulo, 13564-030"
"RUA QUINZE DE NOVEMBRO, 2073 - CENTRO - São Carlos/SP - CEP 13560-240",nominatim,-22.0123422,-47.8938382,"Rua Quinze de Novembro, Jardim São Carlos, Jardim Macarengo, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13560-240, Brasil"
"RUA SAO JOAQUIM, 832 - CENTRO - São Carlos/SP - CEP 13560-300",nominatim,-22.020436,-47.8885965,"Rua São Joaquim, Centro, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13561-270, Brasil"
"RODOVIA WASHINGTON LUIZ KM 226 + 738 M, 50 - JARDIM GUANABARA - São Carlos/SP - CEP 13565-905",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA FRANCISCO FERREIRA, 1613 - VILA FARIA - São Carlos/SP - CEP 13569-004",nominatim,-22.0162159,-47.8750007,"Rua Francisco Ferreira, Vila Faria, Vila Nery, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13569-000, Brasil"
"RUA JESUINO DE ARRUDA, 2020 - BOX 08 - JARDIM SO CARLOS - São Carlos/SP - CEP 13560-642",arcgis,-22.019585991287,-47.890960000405,"Rua Jesuino De Arruda 2020, São Carlos, São Paulo, 13560-642"
"RUA DONA ANA PRADO, 590 - VILA PRADO - São Carlos/SP - CEP 13574-031",nominatim,-22.031845,-47.893272,"Rua Dona Ana Prado, Vila Prado, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13574-240, Brasil"
